0-クイズ番号,1-問題文,2-正解の選択肢,3-回答１,4-回答２,5-ジャンル,6-解説テキスト
1,労働基準法は家族経営や個人事業主にも適用される。○か×か？,2,○,×,基本問題(１）,労働基準法は原則全ての被雇用者に適用されます。しかし例外として家族経営、個人事業主の場合は適用されません。
2,管理監督者の役職にあたる飲食店の店長や銀行の支店長などには割増賃金や通常の休日の規定は適用されない。○か×か？,2,○,×,基本問題(２）,仮に店長という役職名を与えられていても、給料が一般の非管理職とほぼ同じであったり、事業主と同程度の裁量や決定権を与えられていないいわゆる「名ばかり管理職」には労働基準法の規定が適用されます。
3,労働契約の際に提示された条件と実際の仕事内容が異なる場合、労働者は1週間以内に労働契約を解除することができる。○か×か？,1,○,×,労働条件の明示（１）,労働契約時に提示された条件と実際の仕事内容、雇用条件が異なる場合、労働者は即時に労働契約を解除することができます（労基法15条）。
4,就業のために引っ越しした労働者が、就業後に提示された労働条件と実態との相違を理由に労働契約を解除して帰郷する場合、帰郷に必要な旅費を会社に請求できる？,1,できる,できない,労働条件の明示（２）,労基法15条３項により、会社側の責で労働契約の解除が生じた場合、使用者は労働者が帰郷するために必要な旅費負担しなければならないと定められています。
5,派遣業は中間搾取の禁止に反しているので違法である。○か×か？,2,○,×,中間搾取の禁止,労使関係のない第三者が労働に介入することは中間搾取として禁じられています。派遣業は労働者と派遣会社が労使関係を結んでいるため中間搾取に該当しませんが、派遣先から別の会社に派遣する所謂「多重派遣」は労働基準法6条の中間搾取の禁止に反しているため違法です。
6,36協定を結ぶことで延長できる勤務時間の上限はひと月あたり何時間か？,1,45時間,65時間,36協定（１）,労基法36条に基づき使用者と労働組合が書面による協定により労働時間を延長する通称「36協定」では、労働者の法定時間外労働を月あたり45時間まで延長することができます。45時間を超える延長は別途の手続きが義務付けられています。
7,36協定を結べば割増賃金は払われなくなる。○か×か？,2,○,×,36協定（２）,労基法36条基づく協定を結んでも、法定時間の40時間を超えた労働時間に関しては割増賃金が適用されます。
8,1週間あたりの勤務時間が40時間以内であれば、特定の日の勤務時間が法定労働時間の8時間を超えても問題はない。○か×か？,1,○,×,労働時間（１）,労働基準法32条の２より、1週間当たりの労働時間が40時間以内であれば特定の1日の労働時間が8時間を超えても良いと定められています（変形労働時間制）。
9,労働基準法第32条では、使用者は労働者に一日何時間以上労働させてはならないと定めているか？,1,8時間,11時間,労働時間（２）,労働基準法第32条で「使用者は、一週間の各日については、労働者に、休憩時間を除き一日について八時間を超えて、労働させてはならない」と定めています。
10,業務上必要な着替えや掃除は労働時間から除外することができる。○か×か？,2,○,×,労働時間（３）,制服の着替えや掃除など、業務上必要な雑務は使用者による指示の下で行われるものと判断され、従って労働時間に含まれ賃金が発生します。
11,休憩時間は勤務時間の前や終了後にまとめて与えてはいけない。○か×か？,1,○,×,休憩,休憩時間は原則勤務の途中に与えなければならないと労働基準法34条で定められています。
12,固定残業代を採用する場合、何時間分の残業代を賃金に含めるのかを就業規則などに明記する必要がある。○か×か？,1,○,×,固定残業代制,厚生労働省の通達により、時間外労働の賃金を通常の賃金に含める固定残業代制（みなし残業代制）を採用した場合、固定残業代に対応する労働時間数と金額、および固定残業時間を超える時間外労働に対して割増賃金を追加で払う旨を求人票等に明記する必要があります。
13,一般的な正社員として雇入れられ、無欠勤であったとしても入社半年後に有給が発生しない場合がある。○か×か？,2,○,×,年次有給休暇（１）,労働基準法39条により、使用者は雇入れから半年経過した労働者に対して10日以上の有給休暇を与えなければならないと定められています。
14,アルバイトやパートの場合でも有給休暇は付与される。○か×か？,1,○,×,年次有給休暇（２）,一般的な正社員雇用の場合と同様、アルバイトやパート雇用でも有給休暇を付与しなければならない旨が労基法39条に定められています。ただし、付与日数は勤務日数に比例して変動します。
15,雇用者は有給休暇の取得日付を指定してはならない。○か×か？,2,○,×,年次有給休暇（３）,計画付与制度を導入することで、雇用者は労働者の有給取得日を全付与日数から5日除外した日数だけ指定することができます（労基法39条６項）。ただし、就業規則への明記と労使協定の締結が必要です。
16,就業規則に休職制度について明記することは義務ではない。○か×か？,1,○,×,休職,労働基準法には休職の定めがないため、就業規則への記載も任意です。しかし無用なトラブル回避のために記載が推奨されています。
17,雇用者と被雇用者双方が合意すれば、最低賃金を下回る賃金で労使契約を結ぶことができる。○か×か？,2,○,×,最低賃金（１）,使用者と労働者双方の合意があったとしても、最低賃金に満たない賃金による契約は労基法28条および最低賃金法第4条により無効となります。
18,18歳未満には最低賃金以下の賃金が適用されることがある。○か×か？,2,○,×,最低賃金（２）,地域別最低賃金は年齢に関わらず全ての労働者に適用されます（労基法28条、最低賃金法9条）。
19,使用者は現金の代わりに商品券を賃金として支払うことが可能である。○か×か？,1,○,×,賃金,賃金は現金支払いが原則ですが、会社に労働組合が存在し、労働組合と使用者との間で協約が締結されている場合に限り、賃金を現金以外の実物給与が可能です（労基法24条）。
20,法定時間を超えた時間外労働には何割の割増賃金が適用されるか？,2,1.5割,2.5割,割増賃金（１）,労働基準法第37条より、時間外労働には２割５分以上５割以下の割増賃金を支払う必要があります。
21,1日の所定労働時間が7時間の場合、1時間残業すると割増賃金は発生するか？,2,発生する,発生しない,割増賃金（２）,25%以上の割増賃金が適用されるのは法定労働時間の8時間を超えた時間分に限られます。この場合は所定超法定内残業となるため、1時間分の通常賃金が発生します（労基法37条）。
22,賞与は最低でも年一支給しなければならない。○か×か？,2,○,×,賞与,賞与に関しては労基法では規定されていないため、支払いの義務はありません。ただし、年棒制で賞与を年棒に含めた場合、この賞与は通常賃金とみなされ原則支給する必要が発生します。
23,レジ打ちのミスなどで会社やお店に損失が出てしまった場合の罰金を就業規則に盛り込んでも良い？,2,良い,良くない,賠償予定の禁止,短期間で辞めた場合の違約金や会社に損害を与えた場合の賠償金をあらかじめ決めておく「賠償予定」は労基法16条により禁じられています。ただし、労働者の責任で実際に損害が発生した場合に賠償を請求することを禁じたものではありません。
24,通常インターンシップ生には労働基準法は適用されないが、使用従属関係がある有償のインターンシップであれば労働基準法は適用される。○か×か？,1,○,×,インターンシップ,インターンシップ生であっても雇用者との間に使用従属関係があり賃金を支払われる者は労働者とみなされ、労働関連法令が適用されます（平成9年9月18日基発第636号）。
25,使用者は労働者を解雇する場合、少なくとも２ヶ月前にその予告をしなければならない。○か×か？,2,○,×,解雇（１）,労働者の解雇は、２ヶ月前ではなく30日前までにその予告をしなければいけません（第20条）。
26,試用期間中であれば使用者はいつでも被雇用者を解雇することができる。○か×か？,2,○,×,解雇（２）,仮に試用期間中であっても、14日を超えて継続勤務した労働者に対しては30日以上前もって解雇予告を出さなければならないと労基法21条により定められています。
27,使用者の責任により休業が生じた場合、使用者は労働者に賃金の何割以上を支払う必要があるか？,2,３割,６割,休業,天災などを原因とする使用者責任ではない休業では使用者が賃金を支払う必要はありませんが、生産調整や監督官庁の勧告による休業などの使用者責任による休業に際しては使用者は通常賃金の６割以上を支払う義務があります。
28,使用者は労働者の賃金、労働時間の記録を何年間保存しなければいけないか？,1,５年,８年,記録の保存,労働者名簿、賃金台帳及び雇入れ、解雇、災害補償、賃金その他労働関係に関する重要な書類は５年間保存しなければならないと労基法109条にて定められています。
29,使用者は労働者の承認を得ることなく就業規則を変更することができる。○か×か？,2,○,×,就業規則,就業規則の作成または変更にあたっては、労働組合があれば労働組合の、労働組合がなければ労働者の代表者の意見を聞く義務があります（労基法90条）。
30,出来高払制で雇用した労働者について、使用者は時間に応じて一定額の賃金保障をしなければならない。○か×か？,1,○,×,出来高払制の保障給,労基法27条により、出来高払制やその他請負制で契約した労働者には、最低賃金以上の時間給を保障しなければならないと定められています。